,CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_PHONE,CUSTOMER_EMAIL,CUSTOMER_SEX,CUSTOMER_DOB,CUSTOMER_NATIONALITY,CUSTOMER_PASSPORT_NUMBER,DOJ
0,85,JOEL,+971554059224,imnaveed2003@gmail.com,M,2003-10-16,INDIA,652765C,2019-12-29
1,160,JOEL,+971569700565,batmanthanoshere@gmail.com,M,2003-04-20,INDIA,412315D,2019-10-02
2,224,ANSH,+971554059224,batmanthanoshere@gmail.com,M,2003-10-16,INDIA,981432C,2020-03-27
3,378,ANSH,+971508528596,imnaveed2003@gmail.com,M,2011-03-01,INDIA,888883J,2020-02-28
4,470,ANSH,+971508528596,imnaveed2003@gmail.com,M,2011-03-01,INDIA,261953J,2020-10-04
5,694,NAVEED,+971554059224,mirziyaan@gmail.com,M,2003-04-20,INDIA,233092D,2020-09-04
6,916,NAVISH,+971569700565,batmanthanoshere@gmail.com,M,2003-10-16,INDIA,107241K,2021-08-05
7,950,ZIYAAN,+919566265537,mirziyaan@gmail.com,M,2003-10-16,INDIA,965682K,2019-05-09
8,998,JOEL,+919566265537,imnaveed2003@gmail.com,M,2011-03-01,INDIA,341969K,2019-08-30
9,1013,NAVEED,+971569700565,imnaveed2003@gmail.com,M,2011-03-01,INDIA,357865K,2020-07-07
10,1062,NAVEED,+971558004998,batmanthanoshere@gmail.com,M,2003-05-16,INDIA,982793M,2020-08-01
11,1063,NAVEED,+971554059224,mirziyaan@gmail.com,M,2003-05-16,INDIA,932162N,2019-11-03
12,1391,NAVISH,+971554059224,mirziyaan@gmail.com,M,2003-10-16,INDIA,263037A,2019-02-06
13,1455,NAVISH,+971508528596,batmanthanoshere@gmail.com,M,2003-04-20,INDIA,821140J,2019-12-24
14,1563,FARAZ,+971508528596,batmanthanoshere@gmail.com,M,2003-10-16,INDIA,317319K,2019-12-21
15,1640,ANSH,+971554059224,batmanthanoshere@gmail.com,M,2003-10-16,INDIA,749478N,2020-10-10
16,1658,SOORYA,+919566265537,imnaveed2003@gmail.com,M,2003-10-16,INDIA,384253K,2020-10-09
17,1802,NAVEED,+971554059224,mirziyaan@gmail.com,M,2003-04-20,INDIA,212225F,2020-10-16
18,1810,SOORYA,+971554059224,imnaveed2003@gmail.com,M,2011-03-01,INDIA,249633J,2020-07-18
19,1835,FARAZ,+971554059224,imnaveed2003@gmail.com,M,2011-03-01,INDIA,690579M,2021-07-19
20,2054,NAVISH,+971508528596,mirziyaan@gmail.com,M,2003-10-16,INDIA,570940F,2020-05-05
21,2107,ZIYAAN,+971569700565,mirziyaan@gmail.com,M,2011-03-01,INDIA,723787J,2019-10-14
22,2234,ZIYAAN,+971508528596,imnaveed2003@gmail.com,M,2003-10-16,INDIA,112354N,2019-08-26
23,2299,ZIYAAN,+971508528596,mirziyaan@gmail.com,M,2011-03-01,INDIA,289830E,2019-08-27
24,2312,SOORYA,+971558004998,imnaveed2003@gmail.com,M,2003-10-16,INDIA,626823E,2019-09-27
25,2330,ZIYAAN,+971508528596,mirziyaan@gmail.com,M,2003-10-16,INDIA,182275B,2021-04-25
26,2455,ANSH,+919566265537,imnaveed2003@gmail.com,M,2003-05-16,INDIA,679274M,2021-02-15
27,2639,NAVISH,+919566265537,imnaveed2003@gmail.com,M,2003-04-20,INDIA,654817N,2021-07-26
28,2711,NAVEED,+971554059224,imnaveed2003@gmail.com,M,2003-05-16,INDIA,443313N,2020-05-17
29,2945,JOEL,+971558004998,batmanthanoshere@gmail.com,M,2003-10-16,INDIA,989329K,2020-11-21
30,3010,SOORYA,+971558004998,batmanthanoshere@gmail.com,M,2003-04-20,INDIA,510248L,2020-07-28
31,3097,ANSH,+919566265537,batmanthanoshere@gmail.com,M,2003-10-16,INDIA,595078A,2019-09-09
32,3282,NAVISH,+919566265537,mirziyaan@gmail.com,M,2003-04-20,INDIA,104753C,2019-05-18
33,3291,FARAZ,+971569700565,imnaveed2003@gmail.com,M,2003-05-16,INDIA,440573L,2019-12-19
34,3369,NAVEED,+971569700565,mirziyaan@gmail.com,M,2003-10-16,INDIA,266789K,2021-05-01
35,3419,FARAZ,+919566265537,mirziyaan@gmail.com,M,2003-10-16,INDIA,861746F,2020-07-21
36,3520,ZIYAAN,+971554059224,mirziyaan@gmail.com,M,2003-05-16,INDIA,513920E,2020-08-06
37,3582,ZIYAAN,+971569700565,mirziyaan@gmail.com,M,2003-05-16,INDIA,374361N,2021-03-11
38,3588,AARON,+971508528596,batmanthanoshere@gmail.com,M,2003-05-16,INDIA,530447K,2019-10-20
39,3670,FARAZ,+919566265537,batmanthanoshere@gmail.com,M,2011-03-01,INDIA,106196K,2019-10-19
40,3710,NAVEED,+971508528596,mirziyaan@gmail.com,M,2003-10-16,INDIA,510912N,2020-12-06
41,3847,FARAZ,+919566265537,mirziyaan@gmail.com,M,2003-05-16,INDIA,277648N,2020-12-02
42,3854,NAVISH,+971508528596,batmanthanoshere@gmail.com,M,2003-04-20,INDIA,841863K,2020-02-13
43,3855,NAVISH,+919566265537,batmanthanoshere@gmail.com,M,2003-04-20,INDIA,254283A,2021-01-22
44,3898,JOEL,+919566265537,mirziyaan@gmail.com,M,2003-05-16,INDIA,113875A,2019-10-10
45,4138,NAVISH,+971554059224,batmanthanoshere@gmail.com,M,2011-03-01,INDIA,813380D,2019-08-03
46,4296,NAVEED,+919566265537,imnaveed2003@gmail.com,M,2011-03-01,INDIA,825084K,2021-04-05
47,4397,SOORYA,+971508528596,batmanthanoshere@gmail.com,M,2003-10-16,INDIA,257776A,2020-02-25
